STPLFIPS,REGION,CBSA,top100,LAT,LONG,cityclass,distPrincipal,slopeNONB,slopeW,slopeB,R2slopeNONB,R2slopeW,R2slopeB,p.slopeNONB,p.slopeW,p.slopeB,slopePCTB,R2slopePCTB,p.slopePCTB,mylog10.slopeNONB,mylog10.slopeW,mylog10.slopeB,quadrantNONB,quadrantW,Y1970,Y1980,Y1990,Y2000,Y2010,TOTAL2010,cbsatitle
0100124,Southeast,20020,FALSE,31.564216,-85.259634,2,20.52,-88.39999999999979,-120.39999999999985,9.99999999999999,0.511145763563295,0.605032196239292,0.17310621797535,0.174673008429912,0.485962867036965,0.485962867036965,1.3899999999999986,0.636984043254648,0.10553276896404,-1.946452265013072,-2.080626486921805,0.9999999999999996,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,2688,"Dothan, AL"
0100460,Southeast,13820,TRUE,33.60575,-86.97465,2,19.646,363.1999999999999,333.99999999999983,305.4999999999998,0.348442537541621,0.301371011715746,0.689444167508555,0.294691924474284,0.0817289773799543,0.0817289773799543,2.489999999999996,0.133400893341251,0.545517762789665,2.5601458398490475,2.523746466811564,2.4850112145785728,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,4522,"Birmingham-Hoover, AL"
0100820,Southeast,13820,TRUE,33.214355,-86.82308,2,44.397,6441.199999999998,5962.099999999997,654.7999999999997,0.990896563784788,0.98835231358613,0.793023044706015,3.69646971197576e-4,0.0427643368890372,0.0427643368890372,-7.109999999999996,0.694309235646045,0.0796620866670757,3.808966784258826,3.775399256011267,2.8161086707399035,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,30352,"Birmingham-Hoover, AL"
0100988,Southeast,10700,FALSE,34.26313,-86.21066,4,17.666,2699.9999999999986,1561.099999999999,61.39999999999997,0.985485717683989,0.952293701569179,0.783430172148658,7.45390629694745e-4,0.0459297956712911,0.0459297956712911,0.049999999999999996,0.0679347826086958,0.671935737588656,3.431363764158987,3.1934307237268453,1.7881683711411676,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,21160,"Albertville, AL"
0101132,Southeast,10760,FALSE,32.92724,-85.937122,4,0,324.79999999999995,146.7999999999995,299.1999999999997,0.4337783766074,0.0805099379165083,0.961463544982683,0.226776464374455,0.00324858057802891,0.00324858057802891,0.8400000000000005,0.491091314031181,0.187412388706335,2.5116160205691376,2.16672605558005,2.475961589192423,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,14875,NA
0101852,Southeast,11500,FALSE,33.67344,-85.810918,2,0,-2392.7999999999993,-2607.3999999999983,194.60000000000065,0.97865497051833406,0.985023837034804,0.502718216671444,0.00133210416282697,0.179964338641981,0.179964338641981,4.219999999999997,0.984542237947811,8.19473416693471e-4,-3.378906400023262,-3.41620766119023,2.2891428359323345,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,23106,"Anniston-Oxford-Jacksonville, AL"
0102116,Southeast,10700,FALSE,34.330328,-86.500771,4,18.865,847.9999999999995,784.2999999999993,2.8999999999999995,0.962579157004341,0.950885074959475,0.580801104972376,0.00310746754332356,0.134207838260901,0.134207838260901,0.03999999999999999,0.5,0.181690113816209,2.9283958522567137,2.89448221501009,0.462397997898956,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,8050,"Albertville, AL"
0102956,Southeast,26620,FALSE,34.778334,-86.949534,2,33.146,1586.3999999999996,1103.0999999999995,362.39999999999975,0.942536311054991,0.969472964998448,0.924879641624857,0.0059502809733532,0.00894352693902829,0.00894352693902829,0.10999999999999903,0.0936532507739939,0.616523200261512,3.200412701197246,3.0426148845885246,2.559188189004775,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,21897,"Huntsville, AL"
0103028,Southeast,23460,FALSE,33.986189,-86.121037,2,4.486,-244.79999999999978,-329.59999999999974,-161.2999999999999,0.850083437973612,0.87198902719058,0.895276087468188,0.0258422735955012,0.0148623648921393,0.0148623648921393,-1.4499999999999997,0.902050798009267,0.0134141249855434,-2.388811413473523,-2.517987203025078,-2.207634367388961,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,6048,"Gadsden, AL"
0104660,Southeast,19300,FALSE,30.882598,-87.77802,4,42.208,-89.30000000000018,-165.70000000000002,390.4,0.39833811203133,0.753283484795776,0.981310488393517,0.253513511871376,0.00109053236301304,0.00109053236301304,4.14,0.967748492445287,0.00248238494434064,-1.9508514588885473,-2.219322508419337,2.591509808994654,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,8044,"Daphne-Fairhope-Foley, AL"
0105980,Southeast,13820,TRUE,33.370824,-86.971504,2,30.625,-2257.9000000000005,-2536.3999999999996,857.7999999999992,0.909019874088439,0.910006573556559,0.579657201794904,0.0119812159140053,0.134827244849648,0.134827244849648,5.629999999999996,0.892287293937483,0.0155182947855015,-3.353704703572165,-3.404217744514924,2.933386041903054,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,27456,"Birmingham-Hoover, AL"
0107000,Southeast,13820,TRUE,33.527444,-86.799047,2,31.123,-29762.39999999998,-31961.59999999999,7897.799999999994,0.95051160315042,0.963479022452363,0.409526407536948,0.00474371200972127,0.244860822476211,0.244860822476211,8.059999999999993,0.924475030880537,0.00901704349541688,-4.473667949210209,-4.504628511999216,3.8975061316800694,2,2,FALSE,TRUE,TRUE,TRUE,TRUE,212237,"Birmingham-Hoover, AL"
0107912,Southeast,10700,FALSE,34.19902,-86.155151,4,22.656,774.6999999999997,529,37.799999999999976,0.807294741414989,0.734462129143093,0.870776656428258,0.038223846180034,0.0205372548945613,0.0205372548945613,0.38999999999999985,0.884302325581395,0.0173208775965744,2.889133555966724,2.7234556720351857,1.577491799837225,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,9551,"Albertville, AL"
0109136,Southeast,13820,TRUE,32.944893,-87.172088,2,54.625,264.49999999999983,247.19999999999993,422.49999999999966,0.940167729839011,0.93215172201707,0.857368015577135,0.00632664883168247,0.023922708258036898,0.023922708258036898,2.5099999999999967,0.540911120269249,0.1566834491535,2.4224256763712044,2.393048466416778,2.625826713285711,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,4947,"Birmingham-Hoover, AL"
0109328,Southeast,42460,FALSE,34.950711,-85.723564,4,0,-125.29999999999988,-171.39999999999992,5.8000000000000185,0.810430960969456,0.866486868479514,0.103955500618047,0.0372532887253534,0.596708315426813,0.596708315426813,0.5499999999999996,0.677036705461057,0.0871072787746354,-2.09795107099415,-2.2340108175871793,0.7634279935629387,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,2418,"Scottsboro, AL"
0109400,Southeast,13820,TRUE,33.439227,-86.945389,2,27.944,-86.59999999999991,-167.39999999999992,53.80000000000008,0.689454949289912,0.966932909332571,0.0048182821583262,0.0817243707272691,0.91169057006572,0.91169057006572,3.709999999999996,0.337091007053292,0.304699149230344,-1.9375178920173461,-2.223755453657241,1.7307822756663898,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,2945,"Birmingham-Hoover, AL"
0113264,Southeast,13820,TRUE,33.643903,-86.684567,2,34.85,-2461.999999999999,-2673.8999999999965,2660.299999999999,0.341677772175272,0.372663969862075,0.830073611473343,0.300625175549552,0.031399789220585,0.031399789220585,14.909999999999995,0.773037987712517,0.0494614435526529,-3.3912880485952974,-3.427145161242988,3.4249306144498775,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,16921,"Birmingham-Hoover, AL"
0113672,Southeast,13820,TRUE,32.958798,-87.132305,2,53.99,77.49999999999999,52.89999999999982,27.69999999999996,0.53968777405581,0.367693201168878,0.455062510378858,0.157401821901224,0.211625045150555,0.211625045150555,0.08999999999999996,0.00402824746369603,0.919243713327215,1.8893017025063101,1.7234556720351843,1.442479769064448,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,2778,"Birmingham-Hoover, AL"
0114392,Southeast,33660,FALSE,30.77145,-88.079697,2,27.349,-1030.6999999999991,-1087.8999999999996,458.69999999999965,0.969664763340978,0.97432621679721,0.677128000635402,0.00226312906122201,0.0870671410187117,0.0870671410187117,7.489999999999995,0.670322566769266,0.0900821426483623,-3.013132276046003,-3.036588976755404,2.661528740131982,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,6106,"Mobile, AL"
0114464,Southeast,45180,FALSE,33.292685,-86.342188,4,27.599,-160.59999999999957,-198.50000000000006,214.09999999999985,0.912631733891171,0.960442977807722,0.810877539453471,0.0112617550245989,0.0371158883695719,0.0371158883695719,3.9799999999999978,0.893564691547452,0.0152366899835637,-2.205745540942661,-2.297760511099134,2.330616667294438,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,5175,"Talladega-Sylacauga, AL"
0115064,Southeast,33660,FALSE,31.097229,-88.249678,2,47.515,383.6999999999999,299.5,92.09999999999998,0.838021278383302,0.683279087574349,0.876365315711824,0.0291428941996875,0.0191837609885916,0.0191837609885916,-0.06000000000000002,0.0138036809815954,0.850753142055911,2.583991799198316,2.4763968267253302,1.964259630196849,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,3905,"Mobile, AL"
